AAPL,8-Jun-12,0
AAPL,7-Jun-12,1.504
AAPL,6-Jun-12,0.045
AAPL,5-Jun-12,1.533
AAPL,4-Jun-12,-0.259
AAPL,1-Jun-12,0.588
AAPL,31-May-12,-2.898
AAPL,30-May-12,-0.249
AAPL,29-May-12,1.206
AAPL,25-May-12,1.775
AAPL,24-May-12,-0.536
AAPL,23-May-12,-0.918
AAPL,22-May-12,2.44
AAPL,21-May-12,-0.768
AAPL,18-May-12,5.826
AAPL,17-May-12,0.049
AAPL,16-May-12,-2.923
AAPL,15-May-12,-1.282
AAPL,14-May-12,-0.905
AAPL,11-May-12,-1.498
AAPL,10-May-12,-0.668
AAPL,9-May-12,0.235
AAPL,8-May-12,0.176
AAPL,7-May-12,-0.228
AAPL,4-May-12,0.748
AAPL,3-May-12,-2.848
AAPL,2-May-12,-0.71
AAPL,1-May-12,0.661
AAPL,30-Apr-12,-0.317
AAPL,27-Apr-12,-3.154
AAPL,26-Apr-12,-0.773
AAPL,25-Apr-12,-0.377
AAPL,24-Apr-12,8.874
AAPL,23-Apr-12,-1.998
AAPL,20-Apr-12,-0.223
AAPL,19-Apr-12,-2.462
AAPL,18-Apr-12,-3.436
AAPL,17-Apr-12,-0.223
AAPL,16-Apr-12,5.097
AAPL,13-Apr-12,-4.147
AAPL,12-Apr-12,-2.816
AAPL,11-Apr-12,-0.548
AAPL,10-Apr-12,-0.356
AAPL,9-Apr-12,-1.224
AAPL,5-Apr-12,0.402
AAPL,4-Apr-12,1.501
AAPL,3-Apr-12,-0.796
AAPL,2-Apr-12,1.728
AAPL,30-Mar-12,3.182
AAPL,29-Mar-12,-1.691
AAPL,28-Mar-12,-1.256
AAPL,27-Mar-12,0.511
AAPL,26-Mar-12,1.236
AAPL,23-Mar-12,1.834
AAPL,22-Mar-12,-0.549
AAPL,21-Mar-12,-0.524
AAPL,20-Mar-12,-0.571
AAPL,19-Mar-12,0.809
AAPL,16-Mar-12,2.652
AAPL,15-Mar-12,0.002
AAPL,14-Mar-12,-0.682
AAPL,13-Mar-12,3.781
AAPL,12-Mar-12,2.917
AAPL,9-Mar-12,1.253
AAPL,8-Mar-12,0.587
AAPL,7-Mar-12,2.129
AAPL,6-Mar-12,0.081
AAPL,5-Mar-12,-0.544
AAPL,2-Mar-12,-2.205
AAPL,1-Mar-12,0.13
AAPL,29-Feb-12,0.374
AAPL,28-Feb-12,1.313
AAPL,27-Feb-12,1.835
AAPL,24-Feb-12,0.641
AAPL,23-Feb-12,1.166
AAPL,22-Feb-12,0.653
AAPL,21-Feb-12,-0.352
AAPL,17-Feb-12,2.535
AAPL,16-Feb-12,-0.018
AAPL,15-Feb-12,0.912
AAPL,14-Feb-12,-2.314
AAPL,13-Feb-12,1.365
AAPL,10-Feb-12,1.86
AAPL,9-Feb-12,0.051
AAPL,8-Feb-12,3.459
AAPL,7-Feb-12,1.674
AAPL,6-Feb-12,1.047
AAPL,3-Feb-12,0.933
AAPL,2-Feb-12,1.002
AAPL,1-Feb-12,-0.235
AAPL,31-Jan-12,-0.064
AAPL,30-Jan-12,0.766
AAPL,27-Jan-12,1.281
AAPL,26-Jan-12,0.596
AAPL,25-Jan-12,-0.454
AAPL,24-Jan-12,6.244
AAPL,23-Jan-12,-1.638
AAPL,20-Jan-12,1.692
AAPL,19-Jan-12,-1.742
AAPL,18-Jan-12,-0.317
AAPL,17-Jan-12,1.038
AAPL,13-Jan-12,1.165
AAPL,12-Jan-12,-0.375
AAPL,11-Jan-12,-0.275
AAPL,10-Jan-12,-0.163
AAPL,9-Jan-12,0.358
AAPL,6-Jan-12,-0.159
AAPL,5-Jan-12,1.045
AAPL,4-Jan-12,1.11
AAPL,3-Jan-12,0.537
AAPL,30-Dec-11,1.538
AAPL,29-Dec-11,-0.03
AAPL,28-Dec-11,0.616
AAPL,27-Dec-11,-0.957
AAPL,23-Dec-11,0.768
AAPL,22-Dec-11,1.224
AAPL,21-Dec-11,0.532
AAPL,20-Dec-11,0.124
AAPL,19-Dec-11,3.595
AAPL,16-Dec-11,0.312
AAPL,15-Dec-11,0.549
AAPL,14-Dec-11,-0.329
AAPL,13-Dec-11,-2.217
AAPL,12-Dec-11,-0.773
AAPL,9-Dec-11,-0.452
AAPL,8-Dec-11,0.758
AAPL,7-Dec-11,0.404
AAPL,6-Dec-11,-0.476
AAPL,5-Dec-11,-0.524
AAPL,2-Dec-11,0.849
AAPL,1-Dec-11,0.456
AAPL,30-Nov-11,1.499
AAPL,29-Nov-11,2.412
AAPL,28-Nov-11,-0.776
AAPL,25-Nov-11,3.452
AAPL,23-Nov-11,-0.932
AAPL,22-Nov-11,-2.528
AAPL,21-Nov-11,2.032
AAPL,18-Nov-11,-1.582
AAPL,17-Nov-11,-0.654
